Category,City,Country,Customer Name,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Quantity,Sales
Technology,Eagan,United States,Odella Nelson,3/11/2016,CA-2016-118255,55122,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,Corporate,3/13/2016,First Class,Minnesota,Accessories,0,19.7714,2,45.98
Office Supplies,Eagan,United States,Odella Nelson,3/11/2016,CA-2016-118255,55122,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,Corporate,3/13/2016,First Class,Minnesota,Binders,0,8.2062,2,17.46
Office Supplies,Westland,United States,Patrick O'Donnell,10/20/2014,CA-2014-146703,48185,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,Consumer,10/25/2014,Second Class,Michigan,Storage,0,8.478400000,4,211.96
Technology,Dover,United States,Lena Hernandez,6/20/2016,CA-2016-169194,19901,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,Consumer,6/25/2016,Standard Class,Delaware,Accessories,0,4.95,3,45
Technology,Dover,United States,Lena Hernandez,6/20/2016,CA-2016-169194,19901,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,Consumer,6/25/2016,Standard Class,Delaware,Phones,0,6.104,2,21.8
Office Supplies,New Albany,United States,Darren Powers,4/18/2015,CA-2015-115742,47150,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,Consumer,4/22/2015,Standard Class,Indiana,Binders,0,17.9634,6,38.22
Office Supplies,New Albany,United States,Darren Powers,4/18/2015,CA-2015-115742,47150,Avery 485,Central,Consumer,4/22/2015,Standard Class,Indiana,Labels,0,35.3346,6,75.18
Furniture,New Albany,United States,Darren Powers,4/18/2015,CA-2015-115742,47150,Longer-Life Soft White Bulbs,Central,Consumer,4/22/2015,Standard Class,Indiana,Furnishings,0,2.9568,2,6.16
Furniture,New Albany,United States,Darren Powers,4/18/2015,CA-2015-115742,47150,"Global Leather Task Chair, Black",Central,Consumer,4/22/2015,Standard Class,Indiana,Chairs,0,17.0981,1,89.99
Office Supplies,New York City,United States,Janet Molinari,12/11/2016,CA-2016-105816,10024,Advantus Push Pins,East,Corporate,12/17/2016,Standard Class,New York,Fasteners,0,6.2566,7,15.26
Technology,New York City,United States,Janet Molinari,12/11/2016,CA-2016-105816,10024,AT&T CL83451 4-Handset Telephone,East,Corporate,12/17/2016,Standard Class,New York,Phones,0,298.6855,5,1029.95
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,CA-2016-111682,12180,Home/Office Personal File Carts,East,Consumer,6/18/2016,First Class,New York,Storage,0,52.14,6,208.56
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,CA-2016-111682,12180,Xerox 232,East,Consumer,6/18/2016,First Class,New York,Paper,0,15.552,5,32.4
Furniture,Troy,United States,Ted Butterfield,6/17/2016,CA-2016-111682,12180,Novimex Turbo Task Chair,East,Consumer,6/18/2016,First Class,New York,Chairs,0.1,7.098000000,5,319.41
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,CA-2016-111682,12180,"Array Parchment Paper, Assorted Colors",East,Consumer,6/18/2016,First Class,New York,Paper,0,6.9888,2,14.56
Technology,Troy,United States,Ted Butterfield,6/17/2016,CA-2016-111682,12180,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,Consumer,6/18/2016,First Class,New York,Accessories,0,3.3,2,30
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,CA-2016-111682,12180,Plastic Binding Combs,East,Consumer,6/18/2016,First Class,New York,Binders,0.2,16.362,4,48.48
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,CA-2016-111682,12180,Prang Dustless Chalk Sticks,East,Consumer,6/18/2016,First Class,New York,Art,0,0.84,1,1.68
Technology,Los Angeles,United States,Kunst Miller,11/24/2015,CA-2015-135545,90004,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,Consumer,11/30/2015,Standard Class,California,Accessories,0,6.1512,2,13.98
Office Supplies,Los Angeles,United States,Kunst Miller,11/24/2015,CA-2015-135545,90004,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,Consumer,11/30/2015,Standard Class,California,Binders,0.2,9.3612,6,25.824
Office Supplies,Los Angeles,United States,Kunst Miller,11/24/2015,CA-2015-135545,90004,Xerox 1943,West,Consumer,11/30/2015,Standard Class,California,Paper,0,68.9631,3,146.73
Furniture,Los Angeles,United States,Kunst Miller,11/24/2015,CA-2015-135545,90004,Luxo Economy Swing Arm Lamp,West,Consumer,11/30/2015,Standard Class,California,Furnishings,0,22.3328,4,79.76
Furniture,Chicago,United States,Paul Stevenson,4/30/2015,US-2015-164175,60610,"Global Value Mid-Back Manager's Chair, Gray",Central,Home Office,5/5/2015,Standard Class,Illinois,Chairs,0.3,-15.2225,5,213.115
Office Supplies,Gilbert,United States,Brendan Sweed,12/5/2014,CA-2014-106376,85234,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,Corporate,12/10/2014,Standard Class,Arizona,Art,0.2,111.3024,8,1113.024
Technology,Gilbert,United States,Brendan Sweed,12/5/2014,CA-2014-106376,85234,netTALK DUO VoIP Telephone Service,West,Corporate,12/10/2014,Standard Class,Arizona,Phones,0.2,62.988,4,167.968
Office Supplies,Springfield,United States,Karen Daniels,6/4/2016,CA-2016-119823,22153,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,Consumer,6/6/2016,First Class,Virginia,Paper,0,35.6636,2,75.88
Office Supplies,New York City,United States,Henry MacAllister,9/18/2016,CA-2016-106075,10009,Avery Binding System Hidden Tab Executive Style Index Sets,East,Consumer,9/23/2016,Standard Class,New York,Binders,0.2,1.731,1,4.616
Office Supplies,Jackson,United States,Tracy Blumstein,9/14/2017,CA-2017-114440,49201,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,Consumer,9/17/2017,Second Class,Michigan,Paper,0,8.763,3,19.05
Furniture,Memphis,United States,Joel Eaton,4/26/2015,US-2015-134026,38109,High-Back Leather Manager's Chair,South,Consumer,5/2/2015,Standard Class,Tennessee,Chairs,0.2,-114.3912,8,831.936
Furniture,Memphis,United States,Joel Eaton,4/26/2015,US-2015-134026,38109,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,Consumer,5/2/2015,Standard Class,Tennessee,Furnishings,0.2,1.213,2,97.04
Office Supplies,Memphis,United States,Joel Eaton,4/26/2015,US-2015-134026,38109,Safco Industrial Wire Shelving System,South,Consumer,5/2/2015,Standard Class,Tennessee,Storage,0.2,-18.196,1,72.784
Office Supplies,Houston,United States,Ken Brennan,12/9/2017,US-2017-118038,77041,Economy Binders,Central,Corporate,12/11/2017,First Class,Texas,Binders,0.8,-1.9344,3,1.248
Furniture,Houston,United States,Ken Brennan,12/9/2017,US-2017-118038,77041,"6"" Cubicle Wall Clock, Black",Central,Corporate,12/11/2017,First Class,Texas,Furnishings,0.6,-5.8248,3,9.708
Office Supplies,Houston,United States,Ken Brennan,12/9/2017,US-2017-118038,77041,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,Corporate,12/11/2017,First Class,Texas,Storage,0.2,2.724,3,27.24
Furniture,Houston,United States,Joel Eaton,11/26/2014,US-2014-147606,77070,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,Consumer,12/1/2014,Second Class,Texas,Furnishings,0.6,-14.475,5,19.3
Office Supplies,Decatur,United States,Stewart Carmichael,6/12/2016,CA-2016-127208,35601,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,Corporate,6/15/2016,First Class,Alabama,Appliances,0,56.2032,1,208.16
Office Supplies,Decatur,United States,Stewart Carmichael,6/12/2016,CA-2016-127208,35601,Avery Heavy-Duty EZD  Binder With Locking Rings,South,Corporate,6/15/2016,First Class,Alabama,Binders,0,8.0352,3,16.74
Office Supplies,San Francisco,United States,Duane Noonan,10/12/2014,CA-2014-139451,94122,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,Consumer,10/16/2014,Standard Class,California,Art,0,4.172,5,14.9
Office Supplies,San Francisco,United States,Duane Noonan,10/12/2014,CA-2014-139451,94122,"Sortfiler Multipurpose Personal File Organizer, Black",West,Consumer,10/16/2014,Standard Class,California,Storage,0,6.2031,1,21.39
Office Supplies,Durham,United States,Julie Creighton,9/3/2015,CA-2015-149734,27707,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,Corporate,9/8/2015,Standard Class,North Carolina,Envelopes,0.2,62.8075,7,200.984
Office Supplies,Chicago,United States,Christopher Schild,11/13/2017,US-2017-119662,60623,Safco Industrial Wire Shelving,Central,Home Office,11/16/2017,First Class,Illinois,Storage,0.2,-48.9549,3,230.376
Furniture,Columbia,United States,Patrick O'Donnell,5/28/2017,CA-2017-140088,29203,Novimex Swivel Fabric Task Chair,South,Consumer,5/30/2017,Second Class,South Carolina,Chairs,0,33.2156,2,301.96
Technology,Rochester,United States,Paul Gonzalez,10/26/2017,CA-2017-155558,55901,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,Consumer,11/2/2017,Standard Class,Minnesota,Accessories,0,6.7966,1,19.99
Office Supplies,Rochester,United States,Paul Gonzalez,10/26/2017,CA-2017-155558,55901,Avery 511,Central,Consumer,11/2/2017,Standard Class,Minnesota,Labels,0,2.9568,2,6.16
Office Supplies,Houston,United States,Gary Mitchum,4/5/2016,CA-2016-159695,77095,Eldon Portable Mobile Manager,Central,Home Office,4/10/2016,Second Class,Texas,Storage,0.2,13.8572,7,158.368
Office Supplies,Los Angeles,United States,Jim Sink,9/17/2016,CA-2016-109806,90036,Turquoise Lead Holder with Pocket Clip,West,Corporate,9/22/2016,Standard Class,California,Art,0,6.633,3,20.1
Technology,Los Angeles,United States,Jim Sink,9/17/2016,CA-2016-109806,90036,Panasonic Kx-TS550,West,Corporate,9/22/2016,Standard Class,California,Phones,0.2,8.2782,2,73.584
Office Supplies,Los Angeles,United States,Jim Sink,9/17/2016,CA-2016-109806,90036,Xerox 1995,West,Corporate,9/22/2016,Standard Class,California,Paper,0,3.1104,1,6.48
Office Supplies,Minneapolis,United States,Karl Braun,1/31/2015,CA-2015-149587,55407,Xerox 1999,Central,Consumer,2/5/2015,Second Class,Minnesota,Paper,0,6.2208,2,12.96
Furniture,Minneapolis,United States,Karl Braun,1/31/2015,CA-2015-149587,55407,"Seth Thomas 13 1/2"" Wall Clock",Central,Consumer,2/5/2015,Second Class,Minnesota,Furnishings,0,16.5354,3,53.34
Office Supplies,Minneapolis,United States,Karl Braun,1/31/2015,CA-2015-149587,55407,Ibico Standard Transparent Covers,Central,Consumer,2/5/2015,Second Class,Minnesota,Binders,0,16.1504,2,32.96
Office Supplies,Portland,United States,Roger Barcio,11/6/2017,US-2017-109484,97206,Flexible Leather- Look Classic Collection Ring Binder,West,Home Office,11/12/2017,Standard Class,Oregon,Binders,0.7,-3.788,1,5.682
Furniture,New York City,United States,Parhena Norris,11/9/2017,CA-2017-161018,10009,9-3/4 Diameter Round Wall Clock,East,Home Office,11/11/2017,Second Class,New York,Furnishings,0,40.5426,7,96.53
Office Supplies,San Francisco,United States,Katherine Ducich,6/17/2017,CA-2017-157833,94122,Trimflex Flexible Post Binders,West,Consumer,6/20/2017,First Class,California,Binders,0.2,17.9592,3,51.312
Office Supplies,Saint Paul,United States,Elpida Rittenbach,9/6/2016,CA-2016-149223,55106,Fellowes Basic Home/Office Series Surge Protectors,Central,Corporate,9/11/2016,Standard Class,Minnesota,Appliances,0,22.5852,6,77.88
Office Supplies,Chicago,United States,Rick Bensley,8/29/2016,CA-2016-158568,60610,Avery Personal Creations Heavyweight Cards,Central,Home Office,9/2/2016,Standard Class,Illinois,Paper,0.2,22.6184,7,64.624
Technology,Chicago,United States,Rick Bensley,8/29/2016,CA-2016-158568,60610,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Central,Home Office,9/2/2016,Standard Class,Illinois,Accessories,0.2,-10.7973,3,95.976
Office Supplies,Chicago,United States,Rick Bensley,8/29/2016,CA-2016-158568,60610,Avery Hidden Tab Dividers for Binding Systems,Central,Home Office,9/2/2016,Standard Class,Illinois,Binders,0.8,-3.0396,3,1.788
Office Supplies,Rochester,United States,Gary Zandusky,12/1/2016,CA-2016-129903,55901,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Central,Consumer,12/4/2016,Second Class,Minnesota,Paper,0,11.7208,4,23.92
Technology,Aurora,United States,Lena Cacioppo,11/13/2015,US-2015-156867,80013,Logitech K350 2.4Ghz Wireless Keyboard,West,Consumer,11/17/2015,Standard Class,Colorado,Accessories,0.2,-26.8758,6,238.896
Furniture,Aurora,United States,Lena Cacioppo,11/13/2015,US-2015-156867,80013,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",West,Consumer,11/17/2015,Standard Class,Colorado,Furnishings,0.2,-3.838500000,3,102.36
Office Supplies,Aurora,United States,Lena Cacioppo,11/13/2015,US-2015-156867,80013,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",West,Consumer,11/17/2015,Standard Class,Colorado,Binders,0.7,-25.8174,3,36.882
Technology,Charlotte,United States,Janet Martin,11/23/2017,CA-2017-119004,28205,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,South,Consumer,11/28/2017,Standard Class,North Carolina,Accessories,0.2,17.6016,8,74.112
Technology,Charlotte,United States,Janet Martin,11/23/2017,CA-2017-119004,28205,Speck Products Candyshell Flip Case,South,Consumer,11/28/2017,Standard Class,North Carolina,Phones,0.2,2.0994,1,27.992
Office Supplies,Charlotte,United States,Janet Martin,11/23/2017,CA-2017-119004,28205,Newell Chalk Holder,South,Consumer,11/28/2017,Standard Class,North Carolina,Art,0.2,1.0738,1,3.304
Technology,Orland Park,United States,Pete Armstrong,10/15/2015,CA-2015-129476,60462,Logitech Gaming G510s - Keyboard,Central,Home Office,10/20/2015,Standard Class,Illinois,Accessories,0.2,67.992,5,339.96
Furniture,New York City,United States,Cynthia Voltz,12/25/2017,CA-2017-146780,10035,Magnifier Swing Arm Lamp,East,Corporate,12/30/2017,Standard Class,New York,Furnishings,0,10.9096,2,41.96
Office Supplies,Urbandale,United States,Clay Ludtke,11/3/2016,CA-2016-128867,50322,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Central,Consumer,11/10/2016,Standard Class,Iowa,Art,0,22.788,2,75.96
Office Supplies,Urbandale,United States,Clay Ludtke,11/3/2016,CA-2016-128867,50322,"Avery Durable Plastic 1"" Binders",Central,Consumer,11/10/2016,Standard Class,Iowa,Binders,0,13.3476,6,27.24
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2014,CA-2014-115259,43229,"OIC Colored Binder Clips, Assorted Sizes",East,Consumer,8/27/2014,Second Class,Ohio,Fasteners,0.2,14.5348,14,40.096
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2014,CA-2014-115259,43229,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",East,Consumer,8/27/2014,Second Class,Ohio,Envelopes,0.2,1.652,2,4.72
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2014,CA-2014-115259,43229,Xerox 1921,East,Consumer,8/27/2014,Second Class,Ohio,Paper,0.2,7.4925,3,23.976
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2014,CA-2014-115259,43229,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",East,Consumer,8/27/2014,Second Class,Ohio,Envelopes,0.2,44.0316,6,130.464
Furniture,Seattle,United States,Dave Kipp,3/2/2015,CA-2015-110457,98103,Hon Racetrack Conference Tables,West,Consumer,3/6/2015,Standard Class,Washington,Tables,0,165.3813,3,787.53
Office Supplies,Bristol,United States,Greg Guthrie,4/5/2015,US-2015-136476,37620,GBC DocuBind 300 Electric Binding Machine,South,Corporate,4/10/2015,Standard Class,Tennessee,Binders,0.7,-115.7156,1,157.794
Furniture,Wilmington,United States,Steven Cartwright,6/12/2016,CA-2016-103730,19805,Artistic Insta-Plaque,East,Consumer,6/15/2016,First Class,Delaware,Furnishings,0,18.3456,3,47.04
Office Supplies,Wilmington,United States,Steven Cartwright,6/12/2016,CA-2016-103730,19805,DXL Angle-View Binders with Locking Rings by Samsill,East,Consumer,6/15/2016,First Class,Delaware,Binders,0,13.878,4,30.84
Office Supplies,Wilmington,United States,Steven Cartwright,6/12/2016,CA-2016-103730,19805,"Companion Letter/Legal File, Black",East,Consumer,6/15/2016,First Class,Delaware,Storage,0,63.4368,6,226.56
Office Supplies,Wilmington,United States,Steven Cartwright,6/12/2016,CA-2016-103730,19805,Globe Weis Peel & Seel First Class Envelopes,East,Consumer,6/15/2016,First Class,Delaware,Envelopes,0,51.759,9,115.02
Technology,Wilmington,United States,Steven Cartwright,6/12/2016,CA-2016-103730,19805,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,East,Consumer,6/15/2016,First Class,Delaware,Phones,0,19.7316,7,68.04
Furniture,Houston,United States,Alan Dominguez,12/26/2014,US-2014-152030,77041,Global Deluxe High-Back Manager's Chair,Central,Home Office,12/28/2014,Second Class,Texas,Chairs,0.3,-8.579400000,3,600.558
Furniture,Bloomington,United States,Philip Fox,9/20/2014,US-2014-134614,61701,Bevis 44 x 96 Conference Tables,Central,Consumer,9/25/2014,Standard Class,Illinois,Tables,0.5,-407.682,6,617.7
Office Supplies,Phoenix,United States,Troy Staebel,11/5/2017,US-2017-107272,85023,"Avery Durable Slant Ring Binders, No Labels",West,Consumer,11/12/2017,Standard Class,Arizona,Binders,0.7,-1.8308,2,2.388
Office Supplies,Phoenix,United States,Troy Staebel,11/5/2017,US-2017-107272,85023,"Trav-L-File Heavy-Duty Shuttle II, Black",West,Consumer,11/12/2017,Standard Class,Arizona,Storage,0.2,30.499,7,243.992
